x,y,z,yaw,mps,change_flag
703410.579,5268500.478,0,1.9910513167622625,10,0
703410.171,5268501.391,0,1.9897310277348563,10,0
703409.764,5268502.305,0,1.9901379740898941,10,0
703409.357,5268503.218,0,1.9910513166559787,10,0
703408.949,5268504.131,0,1.9897310277348563,10,0
703408.542,5268505.045,0,1.990137974469239,10,0
703408.135,5268505.958,0,1.9897310273562039,10,0
703407.728,5268506.872,0,1.9910513167622625,10,0
703407.32,5268507.785,0,1.9897310277348563,10,0
703406.913,5268508.699,0,1.9901379743628687,10,0
703406.506,5268509.612,0,1.9910513163822954,10,0
703406.098,5268510.525,0,1.9897310277348563,10,0
703405.691,5268511.439,0,1.990137974469239,10,0
703405.284,5268512.352,0,1.9906437022148462,10,0
703404.876,5268513.266,0,1.990137974469239,10,0
703404.469,5268514.179,0,1.9901379740898941,10,0
703404.062,5268515.092,0,1.9897310277348563,10,0
703403.655,5268516.006,0,1.9910513167622625,10,0
703403.247,5268516.919,0,1.9897310277348563,10,0
703402.84,5268517.833,0,1.9901379740898941,10,0
703402.433,5268518.746,0,1.9906437022148462,10,0
703402.025,5268519.66,0,1.990137974469239,10,0
703401.618,5268520.573,0,1.990137974469239,10,0
703401.211,5268521.486,0,1.9897310273562039,10,0
703400.804,5268522.4,0,1.9910513167622625,10,0
703400.396,5268523.313,0,1.9897310277348563,10,0
703399.989,5268524.227,0,1.9901379743628687,10,0
703399.582,5268525.14,0,1.9910513163822954,10,0
703399.174,5268526.053,0,1.9897310277348563,10,0
703398.767,5268526.967,0,1.990137974469239,10,0
703398.36,5268527.88,0,1.9897310277348563,10,0
703397.953,5268528.794,0,1.9910513162760117,10,0
703397.545,5268529.707,0,1.9897310277348563,10,0
703397.138,5268530.621,0,1.990137974469239,10,0
703396.731,5268531.534,0,1.9910513167622625,10,0
703396.323,5268532.447,0,1.9897310277348563,10,0
703395.916,5268533.361,0,1.9901379740898941,10,0
703395.509,5268534.274,0,1.9897310277348563,10,0
703395.102,5268535.188,0,1.9910513166559787,10,0
703394.694,5268536.101,0,1.9897310277348563,10,0
703394.287,5268537.015,0,1.9901379740898941,10,0
703393.88,5268537.928,0,1.9910513167622625,10,0
703393.472,5268538.841,0,1.9897310277348563,10,0
703393.065,5268539.755,0,1.9901379743628687,10,0
703392.658,5268540.668,0,1.9906437019417782,10,0
703392.25,5268541.582,0,1.990137974469239,10,0
703391.843,5268542.495,0,1.990137974469239,10,0
703391.436,5268543.408,0,1.9897310277348563,10,0
