Point_ID,Lat,Lon,UTM_E,UTM_N,x,y,z,mps,change_flag,yaw
6042,47.54025458332513,17.701584342568456,703303.416,5268740.816,703303.416,5268740.816,0,10,0,1.9890206524136045
6043,47.540255408789676,17.701583849139816,703303.376,5268740.906,703303.376,5268740.906,0,10,0,1.9941070832114587
6044,47.54025623425422,17.701583355711172,703303.335,5268740.997,703303.335,5268740.997,0,10,0,1.98902065625411
6045,47.54025705971877,17.701582862282528,703303.295,5268741.087,703303.295,5268741.087,0,10,0,1.98493487755387
6046,47.540257885183316,17.701582368853884,703303.255,5268741.178,703303.255,5268741.178,0,10,0,1.9982606401433833
6047,47.54025871064786,17.701581875425244,703303.214,5268741.268,703303.214,5268741.268,0,10,0,1.98493487755387
6048,47.54025953611241,17.7015813819966,703303.174,5268741.359,703303.174,5268741.359,0,10,0,1.9890206573342522
6049,47.540260361576955,17.701580888567957,703303.134,5268741.449,703303.134,5268741.449,0,10,0,1.9941070821480382
6050,47.5402611870415,17.701580395139313,703303.093,5268741.54,703303.093,5268741.54,0,10,0,1.9890206573342522
6051,47.54026201250605,17.701579901710673,703303.053,5268741.63,703303.053,5268741.63,0,10,0,1.98902065625411
6052,47.540262837970594,17.70157940828203,703303.013,5268741.72,703303.013,5268741.72,0,10,0,1.9941070832114587
6053,47.54026366343514,17.701578914853386,703302.972,5268741.811,703302.972,5268741.811,0,10,0,1.98902065625411
6054,47.54026448889969,17.701578421424742,703302.932,5268741.901,703302.932,5268741.901,0,10,0,1.98493487755387
6055,47.540265314364234,17.7015779279961,703302.892,5268741.992,703302.892,5268741.992,0,10,0,1.998260636239465
6056,47.54026613982878,17.701577434567458,703302.851,5268742.082,703302.851,5268742.082,0,10,0,1.98493487755387
6057,47.54026696529333,17.701576941138814,703302.811,5268742.173,703302.811,5268742.173,0,10,0,1.9890206573342522
6058,47.54026779075787,17.70157644771017,703302.771,5268742.263,703302.771,5268742.263,0,10,0,1.9982606401433833
6059,47.54026861622242,17.70157595428153,703302.73,5268742.353,703302.73,5268742.353,0,10,0,1.98493487755387
6060,47.540269441686966,17.701575460852887,703302.69,5268742.444,703302.69,5268742.444,0,10,0,1.98902065625411
6061,47.54027026715151,17.701574967424243,703302.65,5268742.534,703302.65,5268742.534,0,10,0,1.98493487755387
6062,47.54027109261606,17.7015744739956,703302.61,5268742.625,703302.61,5268742.625,0,10,0,1.9982606401433833
6063,47.540271918080606,17.70157398056696,703302.569,5268742.715,703302.569,5268742.715,0,10,0,1.98493487755387
6064,47.54027274354515,17.701573487138315,703302.529,5268742.806,703302.529,5268742.806,0,10,0,1.9890206573342522
6065,47.5402735690097,17.70157299370967,703302.489,5268742.896,703302.489,5268742.896,0,10,0,1.9941070821480382
6066,47.540274394474245,17.701572500281028,703302.448,5268742.987,703302.448,5268742.987,0,10,0,1.98902065625411
6067,47.54027521993879,17.701572006852384,703302.408,5268743.077,703302.408,5268743.077,0,10,0,1.9890206534937467
6068,47.54027604540334,17.701571513423744,703302.368,5268743.167,703302.368,5268743.167,0,10,0,1.9941070821480382
6069,47.540276870867885,17.7015710199951,703302.327,5268743.258,703302.327,5268743.258,0,10,0,1.9890206573342522
6070,47.54027769633243,17.701570526566456,703302.287,5268743.348,703302.287,5268743.348,0,10,0,1.98493487755387
6071,47.54027852179698,17.701570033137813,703302.247,5268743.439,703302.247,5268743.439,0,10,0,1.9982606401433833
6072,47.540279347261524,17.701569539709173,703302.206,5268743.529,703302.206,5268743.529,0,10,0,1.98493487755387
6073,47.54028017272607,17.70156904628053,703302.166,5268743.62,703302.166,5268743.62,0,10,0,1.98902065625411
6074,47.54028099819062,17.701568552851885,703302.126,5268743.71,703302.126,5268743.71,0,10,0,1.9982606412145805
6075,47.540281823655164,17.70156805942324,703302.085,5268743.8,703302.085,5268743.8,0,10,0,1.984934876481732
6076,47.54028264911971,17.7015675659946,703302.045,5268743.891,703302.045,5268743.891,0,10,0,1.9890206573342522
6077,47.54028347458426,17.701567072565958,703302.005,5268743.981,703302.005,5268743.981,0,10,0,1.9941070821480382
6078,47.5402843000488,17.701566579137314,703301.964,5268744.072,703301.964,5268744.072,0,10,0,1.9890206573342522
